nome,email,telefone,cpf,cnpj,cep,data,valor,url,texto_livre
Danielë Souza,o  ig8f_1c@example.com,(71) 959440-7816,999.9299.9999-99,86.379.402/6542-35,84959-310,331/07/203,"R$5 3.553,18",http://site.org/3xkxw/rek8,"Cliente: Danielë Souza Contato: o ig8f_1c@example.com | (71) 959440-7816 Identificação: CPF 999.9299.9999-99 / CNPJ 86.379.402/6542-35 Endereço: CEP 84959-310 Data cadastro: 331/07/203 Faturamento: R$5 3.553,18 Site: http://site.org/3xkxw/rek8 Observação: öëçrôvhsàkãaûûqèçlègòtò"
Yasmin Azevedo,.  cbfc.qn.0@uu(fc.br,(61) 95556-2588,784.473.647-04,77.77.777/7777-77,53714-73,25/03/2017,341.64 BRL,h  ttp://data.ufc.br/uumk,Cliente: Yasmin Azevedo Contato: . cbfc.qn.0@uu(fc.br | (61) 95556-2588 Identificação: CPF 784.473.647-04 / CNPJ 77.77.777/7777-77 Endereço: CEP 53714-73 Data cadastro: 25/03/2017 Faturamento: 341.64 BRL Site: h ttp://data.ufc.br/uumk Observação: zèccciùväêãjïèiuóukzóütîvèèëéùìtäbxv
Daniel Almeida,+  4q_.@empresa.com.br,+  55 95 g2885786,9  72.896.230-45,307562636899771,2  7858-54,07/07/2012,R  $ 580.87,http://site.org/n5u4w/rssh8yzw,Cliente: Daniel Almeida Contato: + 4q_.@empresa.com.br | + 55 95 g2885786 Identificação: CPF 9 72.896.230-45 / CNPJ 307562636899771 Endereço: CEP 2 7858-54 Data cadastro: 07/07/2012 Faturamento: R $ 580.87 Site: http://site.org/n5u4w/rssh8yzw Observação: lálczélüscatìïgvsãôëê
Rafaela Lima,rmhvk3qlavs.@gmail.com,71 945499045,296.685.161-92,3  3.333.333/3333-3,01742-684,26)/03/2013,R$ 13324.56,http://data..ufc.br/4j3x,Cliente: Rafaela Lima Contato: rmhvk3qlavs.@gmail.com | 71 945499045 Identificação: CPF 296.685.161-92 / CNPJ 3 3.333.333/3333-3 Endereço: CEP 01742-684 Data cadastro: 26)/03/2013 Faturamento: R$ 13324.56 Site: http://data..ufc.br/4j3x Observação: deäcsáliôûôáxyâyyföõëiôwhlëzêiûoaçbtã
T  alita Almkeida,p3wjrmhcoutlook.com,+55-(95)99953-4283,9y03.311.907-29,0  3.067õ.383/0284-66,44089268,04/02/2017,"2,858.0",h  ttps://empres.com.3br/0jtyl8/potj3d/0097iyp,"Cliente: T alita Almkeida Contato: p3wjrmhcoutlook.com | +55-(95)99953-4283 Identificação: CPF 9y03.311.907-29 / CNPJ 0 3.067õ.383/0284-66 Endereço: CEP 44089268 Data cadastro: 04/02/2017 Faturamento: 2,858.0 Site: h ttps://empres.com.3br/0jtyl8/potj3d/0097iyp Observação: îîûásjmvoyìpéíôövqçéûôüéãkûwkiûëélëôd"
Sérgio Souza,da0ioe@gmail.com,51ä962118233,777.777.777-7,97.700.886/0084-45,84546-156,1  7/0220010,"-R$ 2.0001,25",http://site.org/fzy/94dakkf/1vg7co,"Cliente: Sérgio Souza Contato: da0ioe@gmail.com | 51ä962118233 Identificação: CPF 777.777.777-7 / CNPJ 97.700.886/0084-45 Endereço: CEP 84546-156 Data cadastro: 1 7/0220010 Faturamento: -R$ 2.0001,25 Site: http://site.org/fzy/94dakkf/1vg7co Observação: õyfóspùefrjyùòjüyuxgfatâxçrgiflàâííèág"
Ana Silva,++uyas@dominio.org,819371240-65,183.982.622-30,21264644715327,65756--924,0  3/01/2009,R$ 20v99.90,httpp://site.org/s5puy/zxhm8,Cliente: Ana Silva Contato: ++uyas@dominio.org | 819371240-65 Identificação: CPF 183.982.622-30 / CNPJ 21264644715327 Endereço: CEP 65756--924 Data cadastro: 0 3/01/2009 Faturamento: R$ 20v99.90 Site: httpp://site.org/s5puy/zxhm8 Observação: üêíîúìoâxzãöîúèjwbägsáfhûjwtvãnêäwäg
P  aulo Azevesdo,etchbvgkp7@empresa.cm.br,8595374785,5  8.736.226-46,379660033419134,69691-557,5  /05/2013,R$4ì18683,https://exemplo.com/uhpt,Cliente: P aulo Azevesdo Contato: etchbvgkp7@empresa.cm.br | 8595374785 Identificação: CPF 5 8.736.226-46 / CNPJ 379660033419134 Endereço: CEP 69691-557 Data cadastro: 5 /05/2013 Faturamento: R$4ì18683 Site: https://exemplo.com/uhpt Observação: xëçcçûâënàgüôçptcâqwfâhpnüîúwùóòàkóin
Gabriel Barbosa,+8kuss.r6@,+  55 95 557759017,2  6042è23255,6  7294667116849,1  8636-374,20/07/024,R  n$77.34,h  ttps://exemplo.com/dccg3b/k23,Cliente: Gabriel Barbosa Contato: +8kuss.r6@ | + 55 95 557759017 Identificação: CPF 2 6042è23255 / CNPJ 6 7294667116849 Endereço: CEP 1 8636-374 Data cadastro: 20/07/024 Faturamento: R n$77.34 Site: h ttps://exemplo.com/dccg3b/k23 Observação: ìaóôkâwûnòüjáóöânfgiçhîûywàuiprôfpíï
Yasminn Azevredo,tn7+66@empresa.com.br,+  55(21)93006-8486,4403.761.379-40,05.526.965/8271-03,6  189-241,1  1/02/20009,$ 4743.13,http://site.org/zet1p/pf1/3dte,Cliente: Yasminn Azevredo Contato: tn7+66@empresa.com.br | + 55(21)93006-8486 Identificação: CPF 4403.761.379-40 / CNPJ 05.526.965/8271-03 Endereço: CEP 6 189-241 Data cadastro: 1 1/02/20009 Faturamento: $ 4743.13 Site: http://site.org/zet1p/pf1/3dte Observação: oupáûureìxhèödloêczeãstufíãaxmsìt
Yasmin Pereira,m8pja00bo8.wav@example.com,(85) 9571ê9-11826,6  4138367098,00000000000000,999062344,h  17/08/2017,2007,h  ttp://data.ufc.br/2roem/gjgk,Cliente: Yasmin Pereira Contato: m8pja00bo8.wav@example.com | (85) 9571ê9-11826 Identificação: CPF 6 4138367098 / CNPJ 00000000000000 Endereço: CEP 999062344 Data cadastro: h 17/08/2017 Faturamento: 2007 Site: h ttp://data.ufc.br/2roem/gjgk Observação: môâifvhcãdkìàûzébyöàlw
Gabriel Lima,jc--ps5094dô@,9897859-3213,263.838.065-21,5  9856420593002,48039-652,04/02/2016,"R$ 4.139,80",ttps://exemplo.com/jm58t/5cfd/ob74,"Cliente: Gabriel Lima Contato: jc--ps5094dô@ | 9897859-3213 Identificação: CPF 263.838.065-21 / CNPJ 5 9856420593002 Endereço: CEP 48039-652 Data cadastro: 04/02/2016 Faturamento: R$ 4.139,80 Site: ttps://exemplo.com/jm58t/5cfd/ob74 Observação: ìclïuóoòìgéjvüepwukòfùõòûvâaqnpú"
Carlos Ribeiro,ady20k@dominio.org,((21) 99706-2962,ê658.617.932-71,04.54.115/26621-57,15336-884,2  0/04/2004,R$4503.65,h  ttps://empresa.com.br/jdxa1f/4mgbn/sf4h,Cliente: Carlos Ribeiro Contato: ady20k@dominio.org | ((21) 99706-2962 Identificação: CPF ê658.617.932-71 / CNPJ 04.54.115/26621-57 Endereço: CEP 15336-884 Data cadastro: 2 0/04/2004 Faturamento: R$4503.65 Site: h ttps://empresa.com.br/jdxa1f/4mgbn/sf4h Observação: lknmicàföàmòjïquûefyízíurêãaúóîêáh
O  lívia Oliveira,.gs8w/0mail.coom,8113247546,799.702.462-08,0  .653.074/5054-39,1  3736785,17//02/2007,433,https://empresa.com.br/i7blmm/pc3/xmr,Cliente: O lívia Oliveira Contato: .gs8w/0mail.coom | 8113247546 Identificação: CPF 799.702.462-08 / CNPJ 0 .653.074/5054-39 Endereço: CEP 1 3736785 Data cadastro: 17//02/2007 Faturamento: 433 Site: https://empresa.com.br/i7blmm/pc3/xmr Observação: ãqnãtöêózîgaèõxíôïïstögäevròurq
João Peeira,+  zuib/@gmail com,++55 95 25135346,446.660.993-44,87584282z417270,54947ó70,ï12/03/2003,R  $ 277.80,h  ttp://site.org/y7t/djimv0/3julf5v,Cliente: João Peeira Contato: + zuib/@gmail com | ++55 95 25135346 Identificação: CPF 446.660.993-44 / CNPJ 87584282z417270 Endereço: CEP 54947ó70 Data cadastro: ï12/03/2003 Faturamento: R $ 277.80 Site: h ttp://site.org/y7t/djimv0/3julf5v Observação: booûinûbîèkhxùôcyòqëódïdõgôbdúhá
Paulo Almeida,jnat0g97r-+i0@,+55 11 91972811,8  91.411.739-10,83.56.208/7375-770,37447012,27/02/2016,"3,015b.96",https://contato.me/gca/kvw2,"Cliente: Paulo Almeida Contato: jnat0g97r-+i0@ | +55 11 91972811 Identificação: CPF 8 91.411.739-10 / CNPJ 83.56.208/7375-770 Endereço: CEP 37447012 Data cadastro: 27/02/2016 Faturamento: 3,015b.96 Site: https://contato.me/gca/kvw2 Observação: êêúúógàõûpäwõöôyjíódaôkèäékeçé"
Letíci Pereeira,d6o9yzpf3@dominio.org,+  55 8 957113055,7  17.751701-444,19.948.837/5503-75,88510272,10/05/2018,R$3930.38,http://site.o)rg/hzn3,Cliente: Letíci Pereeira Contato: d6o9yzpf3@dominio.org | + 55 8 957113055 Identificação: CPF 7 17.751701-444 / CNPJ 19.948.837/5503-75 Endereço: CEP 88510272 Data cadastro: 10/05/2018 Faturamento: R$3930.38 Site: http://site.o)rg/hzn3 Observação: ònmnóùsöwöiùôlèëúòuùhçwíäîìõùáöüësàaê
D  aniel Suouza,dmrks@õgmail.com,95 99735-9893,04380571980,38.638.406/658-10,47212-281,19/12/2024,R  $ 2357.60,h  ttps:///contato.me/av3jc/udt5/9wu7ol,Cliente: D aniel Suouza Contato: dmrks@õgmail.com | 95 99735-9893 Identificação: CPF 04380571980 / CNPJ 38.638.406/658-10 Endereço: CEP 47212-281 Data cadastro: 19/12/2024 Faturamento: R $ 2357.60 Site: h ttps:///contato.me/av3jc/udt5/9wu7ol Observação: ëaòenõònöàgnëúüàôeüöjbãùvcfedlqíeìoqá
N  atan Gomes,ubyh8a--e_ce@mail.co,71 â8424-5088,14491476667,33.333.333/3333-33,10099688,0  4/06/2015,2  82,h  ttp://site.org/kloq/hld9/9eseqg,Cliente: N atan Gomes Contato: ubyh8a--e_ce@mail.co | 71 â8424-5088 Identificação: CPF 14491476667 / CNPJ 33.333.333/3333-33 Endereço: CEP 10099688 Data cadastro: 0 4/06/2015 Faturamento: 2 82 Site: h ttp://site.org/kloq/hld9/9eseqg Observação: bèòbîîzîncíqëëäôjxzoîû
Joûão Oliveira,zx6ap-@gmail.comm,+55 8 5 944989266,7  22.992.750-37,3  0385677u005115,9184k6-38,0  2/11/s2021,R$2926.57,h  ttp://site.oorg/i2koe6r,Cliente: Joûão Oliveira Contato: zx6ap-@gmail.comm | +55 8 5 944989266 Identificação: CPF 7 22.992.750-37 / CNPJ 3 0385677u005115 Endereço: CEP 9184k6-38 Data cadastro: 0 2/11/s2021 Faturamento: R$2926.57 Site: h ttp://site.oorg/i2koe6r Observação: mêèöájïgläóïcëèçhfäõ
E  duardo Lima,170xc@gmail.com,+  55 71 956512694,376.599.162-70,14.98.430/0981-98,8  6959-463,22/08/2021,iR$3212.80,https://exemplo.com/qtwzih/2kgn/zv9dkya,Cliente: E duardo Lima Contato: 170xc@gmail.com | + 55 71 956512694 Identificação: CPF 376.599.162-70 / CNPJ 14.98.430/0981-98 Endereço: CEP 8 6959-463 Data cadastro: 22/08/2021 Faturamento: iR$3212.80 Site: https://exemplo.com/qtwzih/2kgn/zv9dkya Observação: ïmãzìaqláègíeèsvhèqëìqúâyìä
H  elenna Barbosa,3_b4hqeyoou0@mail.com,4152111790,04341651820ü,53.942.373/3343-56,0  7_595-7794,05/12/2022,R  $ 2197.33,https://emhpresacom.br/d714/c6wzl3h/3uaanyg,Cliente: H elenna Barbosa Contato: 3_b4hqeyoou0@mail.com | 4152111790 Identificação: CPF 04341651820ü / CNPJ 53.942.373/3343-56 Endereço: CEP 0 7_595-7794 Data cadastro: 05/12/2022 Faturamento: R $ 2197.33 Site: https://emhpresacom.br/d714/c6wzl3h/3uaanyg Observação: üvqxxííqwbáhwöïmììôôëlswuöèéüâfyós
Paulo Carvalho,v0-.zzef@empresa.com.br,+  55 21 78006111,5544964506,76.220.234/13î26-06,921 64-334,27-03-1991,"4  ,6488.45",http://data.ufc.br/38r92i/l3178tw,"Cliente: Paulo Carvalho Contato: v0-.zzef@empresa.com.br | + 55 21 78006111 Identificação: CPF 5544964506 / CNPJ 76.220.234/13î26-06 Endereço: CEP 921 64-334 Data cadastro: 27-03-1991 Faturamento: 4 ,6488.45 Site: http://data.ufc.br/38r92i/l3178tw Observação: bjdëblgsriùâûaofjaénvátéxãúcvf"
E  duard Souza,e84lmqyahpy@outlook.com,+55(41)3650-2491t,30.718.376-42,52088147435070,30097925,04/06/2022,R  $4085.9,http://datta.ufc.br/dwj/gi5ou9w,Cliente: E duard Souza Contato: e84lmqyahpy@outlook.com | +55(41)3650-2491t Identificação: CPF 30.718.376-42 / CNPJ 52088147435070 Endereço: CEP 30097925 Data cadastro: 04/06/2022 Faturamento: R $4085.9 Site: http://datta.ufc.br/dwj/gi5ou9w Observação: uhgêõecilcmgémgcìôyõéêóúîqdxoïùeanôéfãòd
Marina Martins,x  d-r7ceten7@example.com,31985-28975,666.66.666-66,3  9.288.61l9/5761-37,5  566e5-939,06/09ú/2024,"4  ,2b61.47",https://exemplo.com/2zacsb/itatonu,"Cliente: Marina Martins Contato: x d-r7ceten7@example.com | 31985-28975 Identificação: CPF 666.66.666-66 / CNPJ 3 9.288.61l9/5761-37 Endereço: CEP 5 566e5-939 Data cadastro: 06/09ú/2024 Faturamento: 4 ,2b61.47 Site: https://exemplo.com/2zacsb/itatonu Observação: jdöûzâçïìèfoàszjivfäìüdízqf"
Natan Martns,i49m5z.@empresa.com.br,819335211033,833146.591-13,55.355.04/2597-02,2  4051-47,18/02/2024,R$28811.25,https://empresa.com.br/9jby/7cqkdsm/rd3aeyr,Cliente: Natan Martns Contato: i49m5z.@empresa.com.br | 819335211033 Identificação: CPF 833146.591-13 / CNPJ 55.355.04/2597-02 Endereço: CEP 2 4051-47 Data cadastro: 18/02/2024 Faturamento: R$28811.25 Site: https://empresa.com.br/9jby/7cqkdsm/rd3aeyr Observação: öoápìjàtïvâëinôiîëömitúùêiàjôìkueíëûhluj
Ana Barbosa,0t2rjmgilgb-@ufc.br,98463333z127,993.933.51-022,89.752.677/2233-00,7  5736609,13/01/û014,1105,h  ttps://emmpresa.com.br/87c7g23/p78/c9y7dm,Cliente: Ana Barbosa Contato: 0t2rjmgilgb-@ufc.br | 98463333z127 Identificação: CPF 993.933.51-022 / CNPJ 89.752.677/2233-00 Endereço: CEP 7 5736609 Data cadastro: 13/01/û014 Faturamento: 1105 Site: h ttps://emmpresa.com.br/87c7g23/p78/c9y7dm Observação: áttûâsòlhimaóçqaãééëa
Yasmin Lima,_4302f++@example.com,(31) 9501--p4556,983022050@20,4  51016224ã99947,68147-214,31/ì005/2009,R$195.29,https//conttato.me/7f4,Cliente: Yasmin Lima Contato: _4302f++@example.com | (31) 9501--p4556 Identificação: CPF 983022050@20 / CNPJ 4 51016224ã99947 Endereço: CEP 68147-214 Data cadastro: 31/ì005/2009 Faturamento: R$195.29 Site: https//conttato.me/7f4 Observação: äcôiäjòãëvãáüdêtìûöuíëbnìövwejrbvyò
Talita Moura, +htucr0ò@example.com,11 82235-7845,3  b57.438.421-16,11.111.111/1111-11,18230-7668,22/12/20011,R$1870.52,https://exemplo.com/3cg7,Cliente: Talita Moura Contato: +htucr0ò@example.com | 11 82235-7845 Identificação: CPF 3 b57.438.421-16 / CNPJ 11.111.111/1111-11 Endereço: CEP 18230-7668 Data cadastro: 22/12/20011 Faturamento: R$1870.52 Site: https://exemplo.com/3cg7 Observação: ìifúãgãtöôùãäoojóqxzlúõvuãébeähwäã
Fernanda Costa,6gzgu9e@outlook.com,(21)  97581-7246,76963938202,5  396695821913,91965-7011,2  911-1990,2  570,htttps://empresa.com.br/8sy2mn,Cliente: Fernanda Costa Contato: 6gzgu9e@outlook.com | (21) 97581-7246 Identificação: CPF 76963938202 / CNPJ 5 396695821913 Endereço: CEP 91965-7011 Data cadastro: 2 911-1990 Faturamento: 2 570 Site: htttps://empresa.com.br/8sy2mn Observação: ûéõàifiôáãúïàólãèàíâywol
Olívia Rodrigues, 6r08.xcc@ufc.br,(81)t 97956-5442,519.712.847-000,91371894905800,9  4940-792,01/022/2013,R$.3088.96,https://empresa.com.br/5fi6e,Cliente: Olívia Rodrigues Contato: 6r08.xcc@ufc.br | (81)t 97956-5442 Identificação: CPF 519.712.847-000 / CNPJ 91371894905800 Endereço: CEP 9 4940-792 Data cadastro: 01/022/2013 Faturamento: R$.3088.96 Site: https://empresa.com.br/5fi6e Observação: qjêàasâyöuêöcgëòwàóôrvrrgqôîzãöüpûö
Vinícius B1arbosa,u9aaea0@,+55 81 917465421,753.443.009--72,39.111.926/9212-60,06650-4ö2,31/12/20f08,R$ 113.02,h  tps://empresa.com.br/gj81ng/qgceeq/b55jacy,Cliente: Vinícius B1arbosa Contato: u9aaea0@ | +55 81 917465421 Identificação: CPF 753.443.009--72 / CNPJ 39.111.926/9212-60 Endereço: CEP 06650-4ö2 Data cadastro: 31/12/20f08 Faturamento: R$ 113.02 Site: h tps://empresa.com.br/gj81ng/qgceeq/b55jacy Observação: eëôtéëâbcvdvûczhnôõêãöëjüîoecüjé
Ana Gomems,p  iald@mail.com,8  6 91142-6258,1t79.291.117-33,136561982f5360,773902196,0  3/713/1990,"-R$ 3.205,87",http://site.org/s04injr/20zplcll5/ftw0a9p,"Cliente: Ana Gomems Contato: p iald@mail.com | 8 6 91142-6258 Identificação: CPF 1t79.291.117-33 / CNPJ 136561982f5360 Endereço: CEP 773902196 Data cadastro: 0 3/713/1990 Faturamento: -R$ 3.205,87 Site: http://site.org/s04injr/20zplcll5/ftw0a9p Observação: àjnóãlyxiãûmòwrmvicúì"
B  eatriz Cosa, 0kvos+k-k.9o@example.com,+55(86)9060-0780,873977740669,9  9.999.999/9999-99,866717731,14-04-1998,R$ 1415.94,https://exemplo.com/b4t//3b33/zlx3,Cliente: B eatriz Cosa Contato: 0kvos+k-k.9o@example.com | +55(86)9060-0780 Identificação: CPF 873977740669 / CNPJ 9 9.999.999/9999-99 Endereço: CEP 866717731 Data cadastro: 14-04-1998 Faturamento: R$ 1415.94 Site: https://exemplo.com/b4t//3b33/zlx3 Observação: èêhäùëöësâóxöúemãffzlsegkrhújéjnêòb
J  oão Almeeida,4ww02bsm@example.comâ,(86) 8422-2231,8  56.955.â798-87,424375402547980,592741523,12/14/2013,R$ 515.471,h  ttps://exemplo.com/hbz5j/uja86v/4sj2v,Cliente: J oão Almeeida Contato: 4ww02bsm@example.comâ | (86) 8422-2231 Identificação: CPF 8 56.955.â798-87 / CNPJ 424375402547980 Endereço: CEP 592741523 Data cadastro: 12/14/2013 Faturamento: R$ 515.471 Site: h ttps://exemplo.com/hbz5j/uja86v/4sj2v Observação: ïfjntäêveîçyfaáòrálíãùìçimlysíéctîtéíü
Paulo Pereira,qt4hs0ldominio.org,+55 95 920456504,3  01.471.959-50,-  47.158.904/2902-76,81883d2-192,03ó07/2013,285,h  ttp:/e/site.org/g8wja/7sx5/vkgnj6,Cliente: Paulo Pereira Contato: qt4hs0ldominio.org | +55 95 920456504 Identificação: CPF 3 01.471.959-50 / CNPJ - 47.158.904/2902-76 Endereço: CEP 81883d2-192 Data cadastro: 03ó07/2013 Faturamento: 285 Site: h ttp:/e/site.org/g8wja/7sx5/vkgnj6 Observação: qcetõaçghïnîmlõwbfjürîw
Marina Oliveira,6.eg_a7n@gmil.com,+55 41 951718275,888.888.888-888,38.759.271/2566-74,80157-164,30/11/2019,2  g741.27 BRL,http://site.org/me4xla/gz27fh,Cliente: Marina Oliveira Contato: 6.eg_a7n@gmil.com | +55 41 951718275 Identificação: CPF 888.888.888-888 / CNPJ 38.759.271/2566-74 Endereço: CEP 80157-164 Data cadastro: 30/11/2019 Faturamento: 2 g741.27 BRL Site: http://site.org/me4xla/gz27fh Observação: éãmsõééèqëvëëbçcàhyâuyâãcclíõtùkéàit
N  atan Gommes,98.449k6dzq5@ufc.br,+55 92 9111415208,95450090200,90.561.655/6503-39,07698-640,13/03/2014,1  222.62 BRL,http://data.ufc.br/g5gnv56/ktx1m,Cliente: N atan Gommes Contato: 98.449k6dzq5@ufc.br | +55 92 9111415208 Identificação: CPF 95450090200 / CNPJ 90.561.655/6503-39 Endereço: CEP 07698-640 Data cadastro: 13/03/2014 Faturamento: 1 222.62 BRL Site: http://data.ufc.br/g5gnv56/ktx1m Observação: òëóàìûòdêmxãjpjüöçtàáueònárs
Fernanda  Costa,zphjmbpt@dominio.org,9  29162319811,66032420442,8  20700159441610,98471391,28/6/2017,3058,h  ttp://data.ufc.br/njglnär,Cliente: Fernanda Costa Contato: zphjmbpt@dominio.org | 9 29162319811 Identificação: CPF 66032420442 / CNPJ 8 20700159441610 Endereço: CEP 98471391 Data cadastro: 28/6/2017 Faturamento: 3058 Site: h ttp://data.ufc.br/njglnär Observação: òuôácrféäüávùàgkúqèewáïûíüuãúbçdôô
