,nome,email,telefone,cpf,cpf_validado,cnpj,cnpj_validado,cep,data,valor,url
25,"[['O  lívia Oliveira'], 'O  lívia Oliveira']","[[], None]","[['(81) 1324-7546'], '(81) 1324-7546']","[['799.702.462-08'], '799.702.462-08']",True,"[[], None]",False,"[[], None]","[[], None]","[[], None]","[['https://empresa.com.br/i7blmm/pc3/xmr'], 'https://empresa.com.br/i7blmm/pc3/xmr']"
26,"[['João Peeira'], 'João Peeira']","[[], None]","[[], None]","[['446.660.993-44'], '446.660.993-44']",True,"[['87.584.282/4172-70'], '87.584.282/4172-70']",True,"[[], None]","[[('12', '03', '2003')], '12/03/2003']","[[' 277.80'], ' 277.80']","[[], None]"
27,"[['Paulo Almeida'], 'Paulo Almeida']","[[], None]","[[], None]","[['891.411.739-10'], '891.411.739-10']",True,"[['83.562.087/3757-70'], '83.562.087/3757-70']",False,"[['37447012'], '37447012']","[[('27', '02', '2016')], '27/02/2016']","[['3,01'], '3,01']","[['https://contato.me/gca/kvw2'], 'https://contato.me/gca/kvw2']"
28,"[['Letíci Pereeira'], 'Letíci Pereeira']","[['d6o9yzpf3@dominio.org'], 'd6o9yzpf3@dominio.org']","[[], None]","[[], None]",False,"[['19.948.837/5503-75'], '19.948.837/5503-75']",False,"[['88510272'], '88510272']","[[('10', '05', '2018')], '10/05/2018']","[['R$3930.38'], 'R$3930.38']","[['http://site.o)rg/hzn3'], 'http://site.o)rg/hzn3']"
29,"[['D  aniel Suouza'], 'D  aniel Suouza']","[[], None]","[['(95) 99735-9893'], '(95) 99735-9893']","[['043.805.719-80'], '043.805.719-80']",True,"[[], None]",False,"[['47212-281'], '47212-281']","[[('19', '12', '2024')], '19/12/2024']","[[' 2357.60'], ' 2357.60']","[[], None]"
30,"[['N  atan Gomes'], 'N  atan Gomes']","[['ubyh8a--e_ce@mail.co'], 'ubyh8a--e_ce@mail.co']","[['(71) 8424-5088'], '(71) 8424-5088']","[['144.914.766-67'], '144.914.766-67']",True,"[['33.333.333/3333-33'], '33.333.333/3333-33']",False,"[['10099688'], '10099688']","[[('4', '06', '2015')], '4/06/2015']","[[], None]","[[], None]"
31,"[['Joûão Oliveira'], 'Joûão Oliveira']","[['zx6ap-@gmail.comm'], 'zx6ap-@gmail.comm']","[[], None]","[['722.992.750-37'], '722.992.750-37']",False,"[['30.385.677/0051-15'], '30.385.677/0051-15']",True,"[[], None]","[[], None]","[['R$2926.57'], 'R$2926.57']","[[], None]"
32,"[['E  duardo Lima'], 'E  duardo Lima']","[['170xc@gmail.com'], '170xc@gmail.com']","[[], None]","[['376.599.162-70'], '376.599.162-70']",True,"[[], None]",False,"[[], None]","[[('22', '08', '2021')], '22/08/2021']","[['R$3212.80'], 'R$3212.80']","[['https://exemplo.com/qtwzih/2kgn/zv9dkya'], 'https://exemplo.com/qtwzih/2kgn/zv9dkya']"
33,"[['H  elenna Barbosa'], 'H  elenna Barbosa']","[['3_b4hqeyoou0@mail.com'], '3_b4hqeyoou0@mail.com']","[['(41) 5211-1790'], '(41) 5211-1790']","[['043.416.518-20'], '043.416.518-20']",True,"[['53.942.373/3343-56'], '53.942.373/3343-56']",True,"[[], None]","[[('05', '12', '2022')], '05/12/2022']","[[' 2197.33'], ' 2197.33']","[['https://emhpresacom.br/d714/c6wzl3h/3uaanyg'], 'https://emhpresacom.br/d714/c6wzl3h/3uaanyg']"
34,"[['Paulo Carvalho'], 'Paulo Carvalho']","[['v0-.zzef@empresa.com.br'], 'v0-.zzef@empresa.com.br']","[[], None]","[[], None]",False,"[['76.220.234/1326-06'], '76.220.234/1326-06']",True,"[[], None]","[[], None]","[['6488.45'], '6488.45']","[['http://data.ufc.br/38r92i/l3178tw'], 'http://data.ufc.br/38r92i/l3178tw']"
35,"[['E  duard Souza'], 'E  duard Souza']","[['e84lmqyahpy@outlook.com'], 'e84lmqyahpy@outlook.com']","[[], None]","[[], None]",False,"[['52.088.147/4350-70'], '52.088.147/4350-70']",True,"[['30097925'], '30097925']","[[('04', '06', '2022')], '04/06/2022']","[[], None]","[['http://datta.ufc.br/dwj/gi5ou9w'], 'http://datta.ufc.br/dwj/gi5ou9w']"
36,"[['Marina Martins'], 'Marina Martins']","[['d-r7ceten7@example.com'], 'd-r7ceten7@example.com']","[['(31) 9852-8975'], '(31) 9852-8975']","[[], None]",False,"[['39.288.619/5761-37'], '39.288.619/5761-37']",True,"[[], None]","[[], None]","[['61.47'], '61.47']","[['https://exemplo.com/2zacsb/itatonu'], 'https://exemplo.com/2zacsb/itatonu']"
37,"[['Natan Martns'], 'Natan Martns']","[['i49m5z.@empresa.com.br'], 'i49m5z.@empresa.com.br']","[[], None]","[['833.146.591-13'], '833.146.591-13']",True,"[[], None]",False,"[[], None]","[[('18', '02', '2024')], '18/02/2024']","[['R$28811.25'], 'R$28811.25']","[['https://empresa.com.br/9jby/7cqkdsm/rd3aeyr'], 'https://empresa.com.br/9jby/7cqkdsm/rd3aeyr']"
38,"[['Ana Barbosa'], 'Ana Barbosa']","[['0t2rjmgilgb-@ufc.br'], '0t2rjmgilgb-@ufc.br']","[['6333-3127'], '6333-3127']","[['993.933.510-22'], '993.933.510-22']",False,"[['89.752.677/2233-00'], '89.752.677/2233-00']",True,"[[], None]","[[], None]","[[], None]","[[], None]"
39,"[['Yasmin Lima'], 'Yasmin Lima']","[['_4302f++@example.com'], '_4302f++@example.com']","[['(31) 9501-4556'], '(31) 9501-4556']","[['983.022.050-20'], '983.022.050-20']",False,"[['45.101.622/4999-47'], '45.101.622/4999-47']",True,"[['68147-214'], '68147-214']","[[], None]","[['R$195.29'], 'R$195.29']","[[], None]"
40,"[['Talita Moura'], 'Talita Moura']","[[], None]","[['2235-7845'], '2235-7845']","[['357.438.421-16'], '357.438.421-16']",True,"[['11.111.111/1111-11'], '11.111.111/1111-11']",False,"[[], None]","[[('22', '12', '2001')], '22/12/2001']","[['R$1870.52'], 'R$1870.52']","[['https://exemplo.com/3cg7'], 'https://exemplo.com/3cg7']"
41,"[['Fernanda Costa'], 'Fernanda Costa']","[['6gzgu9e@outlook.com'], '6gzgu9e@outlook.com']","[['(21) 97581-7246'], '(21) 97581-7246']","[['769.639.382-02'], '769.639.382-02']",True,"[[], None]",False,"[[], None]","[[], None]","[[], None]","[[], None]"
42,"[['Olívia Rodrigues'], 'Olívia Rodrigues']","[['6r08.xcc@ufc.br'], '6r08.xcc@ufc.br']","[['(81) 97956-5442'], '(81) 97956-5442']","[[], None]",False,"[['91.371.894/9058-00'], '91.371.894/9058-00']",True,"[[], None]","[[], None]","[['3088.96'], '3088.96']","[['https://empresa.com.br/5fi6e'], 'https://empresa.com.br/5fi6e']"
43,"[['Vinícius B'], 'Vinícius B']","[[], None]","[[], None]","[['753.443.009-72'], '753.443.009-72']",True,"[['39.111.926/9212-60'], '39.111.926/9212-60']",True,"[[], None]","[[], None]","[['R$ 113.02'], 'R$ 113.02']","[[], None]"
44,"[['Ana Gomems'], 'Ana Gomems']","[['iald@mail.com'], 'iald@mail.com']","[['(86) 91142-6258'], '(86) 91142-6258']","[['179.291.117-33'], '179.291.117-33']",True,"[[], None]",False,"[[], None]","[[], None]","[['R$ 3.205,87'], 'R$ 3.205,87']","[['http://site.org/s04injr/20zplcll5/ftw0a9p'], 'http://site.org/s04injr/20zplcll5/ftw0a9p']"
45,"[['B  eatriz Cosa'], 'B  eatriz Cosa']","[['0kvos+k-k.9o@example.com'], '0kvos+k-k.9o@example.com']","[[], None]","[[], None]",False,"[['99.999.999/9999-99'], '99.999.999/9999-99']",False,"[[], None]","[[], None]","[['R$ 1415.94'], 'R$ 1415.94']","[['https://exemplo.com/b4t//3b33/zlx3'], 'https://exemplo.com/b4t//3b33/zlx3']"
46,"[['J  oão Almeeida'], 'J  oão Almeeida']","[['4ww02bsm@example.com'], '4ww02bsm@example.com']","[['(86) 8422-2231'], '(86) 8422-2231']","[['856.955.798-87'], '856.955.798-87']",False,"[[], None]",False,"[[], None]","[[], None]","[['R$ 515.47'], 'R$ 515.47']","[[], None]"
47,"[['Paulo Pereira'], 'Paulo Pereira']","[[], None]","[[], None]","[['301.471.959-50'], '301.471.959-50']",True,"[['47.158.904/2902-76'], '47.158.904/2902-76']",True,"[[], None]","[[], None]","[[], None]","[[], None]"
48,"[['Marina Oliveira'], 'Marina Oliveira']","[['6.eg_a7n@gmil.com'], '6.eg_a7n@gmil.com']","[[], None]","[[], None]",False,"[['38.759.271/2566-74'], '38.759.271/2566-74']",True,"[['80157-164'], '80157-164']","[[('30', '11', '2019')], '30/11/2019']","[['741.27'], '741.27']","[['http://site.org/me4xla/gz27fh'], 'http://site.org/me4xla/gz27fh']"
49,"[['N  atan Gommes'], 'N  atan Gommes']","[['98.449k6dzq5@ufc.br'], '98.449k6dzq5@ufc.br']","[[], None]","[['954.500.902-00'], '954.500.902-00']",True,"[['90.561.655/6503-39'], '90.561.655/6503-39']",True,"[['07698-640'], '07698-640']","[[('13', '03', '2014')], '13/03/2014']","[['  222.62'], '  222.62']","[['http://data.ufc.br/g5gnv56/ktx1m'], 'http://data.ufc.br/g5gnv56/ktx1m']"
50,"[['Fernanda  Costa'], 'Fernanda  Costa']","[['zphjmbpt@dominio.org'], 'zphjmbpt@dominio.org']","[[], None]","[['660.324.204-42'], '660.324.204-42']",True,"[[], None]",False,"[['98471391'], '98471391']","[[('28', '6', '2017')], '28/6/2017']","[[], None]","[[], None]"
51,"[['F  ernanda yCarvalho'], 'F  ernanda yCarvalho']","[['azmtu.f@example.com'], 'azmtu.f@example.com']","[[], None]","[['296.577.242-95'], '296.577.242-95']",False,"[[], None]",False,"[['34206-969'], '34206-969']","[[], None]","[[], None]","[['https://contato.me/5honmr/5yi1n'], 'https://contato.me/5honmr/5yi1n']"
52,"[['P  aullo ouza'], 'P  aullo ouza']","[[], None]","[['(11) 99261-3715'], '(11) 99261-3715']","[[], None]",False,"[[], None]",False,"[['41659-152'], '41659-152']","[[], None]","[['459.44'], '459.44']","[['https://exemplo.com/vc2/indsu//e9y'], 'https://exemplo.com/vc2/indsu//e9y']"
53,"[['F  ernanda Barbbosa'], 'F  ernanda Barbbosa']","[['f0tu_@gmail.4com'], 'f0tu_@gmail.4com']","[['(51) 99564-1220'], '(51) 99564-1220']","[['794.523.219-11'], '794.523.219-11']",True,"[['68.006.102/7769-70'], '68.006.102/7769-70']",True,"[[], None]","[[('28', '02', '2024')], '28/02/2024']","[['90.86'], '90.86']","[['https://exemplo.com/41bh/j254'], 'https://exemplo.com/41bh/j254']"
54,"[['A  na Ribero'], 'A  na Ribero']","[['kl6cev1h-o@example.com'], 'kl6cev1h-o@example.com']","[['(98) 91991-8081'], '(98) 91991-8081']","[['745.508.428-57'], '745.508.428-57']",True,"[[], None]",False,"[[], None]","[[], None]","[['R$ 3770.17'], 'R$ 3770.17']","[['https://empresa.com.br/ap4vs6/frx0'], 'https://empresa.com.br/ap4vs6/frx0']"
55,"[['Ana Souza'], 'Ana Souza']","[['t16hdxq6@mail.com'], 't16hdxq6@mail.com']","[['(95) 9315-8935'], '(95) 9315-8935']","[['179.077.539-98'], '179.077.539-98']",False,"[['99.999.999/9999-99'], '99.999.999/9999-99']",False,"[[], None]","[[('25', '07', '2016')], '25/07/2016']","[['1768.22'], '1768.22']","[['http://data.ufc.br/7zq5125/kj6i53/67hn'], 'http://data.ufc.br/7zq5125/kj6i53/67hn']"
56,"[['Gabriiel Rodrigues'], 'Gabriiel Rodrigues']","[['.7m466@example.co'], '.7m466@example.co']","[[], None]","[['204.339.718-95'], '204.339.718-95']",False,"[[], None]",False,"[['00461526'], '00461526']","[[('04', '06', '2005')], '04/06/2005']","[[], None]","[['https://empresa.com.br/p566yhr/u339/íe4b0ob'], 'https://empresa.com.br/p566yhr/u339/íe4b0ob']"
57,"[['Rafaela BBarbosa'], 'Rafaela BBarbosa']","[['8b2hw@outlook.com'], '8b2hw@outlook.com']","[[], None]","[['956.201.753-24'], '956.201.753-24']",True,"[[], None]",False,"[[], None]","[[('01', '10', '2024')], '01/10/2024']","[[], None]","[[], None]"
58,"[['NNatan Silva'], 'NNatan Silva']","[['o+-a3y31--g@mail.com'], 'o+-a3y31--g@mail.com']","[[], None]","[['078.593.110-46'], '078.593.110-46']",True,"[['99.284.567/9723-20'], '99.284.567/9723-20']",False,"[[], None]","[[('04', '02', '2025')], '04/02/2025']","[['35587.02'], '35587.02']","[[], None]"
59,"[['Carlos Barbosa'], 'Carlos Barbosa']","[['x5@ufc.br'], 'x5@ufc.br']","[['(61) 91214-7853'], '(61) 91214-7853']","[['558.777.496-17'], '558.777.496-17']",True,"[[], None]",False,"[['07895-677'], '07895-677']","[[('26', '04', '2022')], '26/04/2022']","[['  829.80'], '  829.80']","[[], None]"
60,"[['João Ribeiroo'], 'João Ribeiroo']","[['ij.+@ufc.br'], 'ij.+@ufc.br']","[['(71) 93481-7058'], '(71) 93481-7058']","[[], None]",False,"[['74.121.820/9702-90'], '74.121.820/9702-90']",True,"[[], None]","[[('3', '06', '2016')], '3/06/2016']","[[' 4550.97'], ' 4550.97']","[['https://contato.me/t14k'], 'https://contato.me/t14k']"
61,"[['P  auo SSouza'], 'P  auo SSouza']","[['vzmzcaqhiu3@dominio.org'], 'vzmzcaqhiu3@dominio.org']","[[], None]","[[], None]",False,"[['24.186.210/4275-60'], '24.186.210/4275-60']",True,"[['09006335'], '09006335']","[[], None]","[['R$ 1628.83'], 'R$ 1628.83']","[['http://data.ufc.br/ogk/c06g/u9mn8'], 'http://data.ufc.br/ogk/c06g/u9mn8']"
62,"[['Beatriz Pereira'], 'Beatriz Pereira']","[[], None]","[['(31) 2129-8338'], '(31) 2129-8338']","[['333.333.333-33'], '333.333.333-33']",False,"[['39.685.270/1713-55'], '39.685.270/1713-55']",True,"[[], None]","[[('09', '11', '2025')], '09/11/2025']","[[], None]","[[], None]"
63,"[['duardo Costa'], 'duardo Costa']","[['ahfyyz_f@ufc.br'], 'ahfyyz_f@ufc.br']","[['(21) 6864-6225'], '(21) 6864-6225']","[['626.448.869-02'], '626.448.869-02']",True,"[['11.952.436/4027-50'], '11.952.436/4027-50']",True,"[[], None]","[[], None]","[['2406.48'], '2406.48']","[['http://data.ufc.br/gkfsfyh/evbp4'], 'http://data.ufc.br/gkfsfyh/evbp4']"
64,"[['Sérgo òLima'], 'Sérgo òLima']","[['i55ft9@outlook.com'], 'i55ft9@outlook.com']","[[], None]","[[], None]",False,"[['02.564.347/1287-41'], '02.564.347/1287-41']",True,"[[], None]","[[('09', '06', '2008')], '09/06/2008']","[['R$ 2.446,18'], 'R$ 2.446,18']","[['http://data.ufc.br/iuyat/8my/uxi7og'], 'http://data.ufc.br/iuyat/8my/uxi7og']"
65,"[['Ana Ribeiro'], 'Ana Ribeiro']","[['jy1kdg@maill.om'], 'jy1kdg@maill.om']","[['(31) 96176-4750'], '(31) 96176-4750']","[['201.859.626-88'], '201.859.626-88']",True,"[[], None]",False,"[['11788-309'], '11788-309']","[[('11', '04', '2012')], '11/04/2012']","[['R$ 1.93'], 'R$ 1.93']","[[], None]"
66,"[['Fernanda Almeida'], 'Fernanda Almeida']","[['1j8nermx.@gmail.com'], '1j8nermx.@gmail.com']","[['(85) 95155-4234'], '(85) 95155-4234']","[['892.625.660-00'], '892.625.660-00']",True,"[['88.888.888/8888-88'], '88.888.888/8888-88']",False,"[['66361128'], '66361128']","[[], None]","[['4,044.59'], '4,044.59']","[['http://data.ufc.br/s9rgdku/lw89z4/iqa6jij'], 'http://data.ufc.br/s9rgdku/lw89z4/iqa6jij']"
67,"[['N  atan Oliveira'], 'N  atan Oliveira']","[['vp8hst@dominio.org'], 'vp8hst@dominio.org']","[[], None]","[['309.634.807-31'], '309.634.807-31']",True,"[['05.097.545/1052-85'], '05.097.545/1052-85']",True,"[[], None]","[[('3', '01', '2024')], '3/01/2024']","[[' 3.11'], ' 3.11']","[[], None]"
68,"[['Beatriz Costa'], 'Beatriz Costa']","[[], None]","[['(92) 99611-2910'], '(92) 99611-2910']","[[], None]",False,"[['41.108.255/5989-34'], '41.108.255/5989-34']",True,"[[], None]","[[('22', '01', '2009')], '22/01/2009']","[['R$ 335.58'], 'R$ 335.58']","[['https://contato.me/m09q'], 'https://contato.me/m09q']"
69,"[['Mëarina Rieiro'], 'Mëarina Rieiro']","[[], None]","[['(71) 97717-7223'], '(71) 97717-7223']","[[], None]",False,"[[], None]",False,"[[], None]","[[('4', '07', '2005')], '4/07/2005']","[[], None]","[[], None]"
70,"[['Letícia Oliveira'], 'Letícia Oliveira']","[[], None]","[['(61) 92472-8633'], '(61) 92472-8633']","[['887.883.619-26'], '887.883.619-26']",True,"[['31.350.305/8721-89'], '31.350.305/8721-89']",True,"[[], None]","[[], None]","[['04,77'], '04,77']","[['https://contato.me/jfp.ea'], 'https://contato.me/jfp.ea']"
71,"[['C  arlos Roddrigues'], 'C  arlos Roddrigues']","[['cduftaawsz6mu@outlook.com'], 'cduftaawsz6mu@outlook.com']","[[], None]","[['521.568.182-15'], '521.568.182-15']",True,"[['79.042.271/1332-08'], '79.042.271/1332-08']",True,"[['59606-339'], '59606-339']","[[('06', '06', '2202')], '06/06/2202']","[['1277.90'], '1277.90']","[[], None]"
72,"[['Olívia Per'], 'Olívia Per']","[['uv+5n4@example.com'], 'uv+5n4@example.com']","[['(21) 9147-6832'], '(21) 9147-6832']","[[], None]",False,"[['05.673.030/6442-33'], '05.673.030/6442-33']",True,"[[], None]","[[('17', '03', '2007')], '17/03/2007']","[['46555.90'], '46555.90']","[['https://empresa.com.br/ya9meeju/aj3j5'], 'https://empresa.com.br/ya9meeju/aj3j5']"
73,"[['Gabriel Mouura'], 'Gabriel Mouura']","[['w30zax@outloook.com'], 'w30zax@outloook.com']","[[], None]","[['444.444.444-44'], '444.444.444-44']",False,"[[], None]",False,"[['26265-826'], '26265-826']","[[('1', '08', '2005')], '1/08/2005']","[[], None]","[['http://data.ufc.br/bq9kunf/b1a/jb8fybi'], 'http://data.ufc.br/bq9kunf/b1a/jb8fybi']"
74,"[['d  uardo Pepreira'], 'd  uardo Pepreira']","[['nbuuiof@gmail.com'], 'nbuuiof@gmail.com']","[['(98) 97676-9459'], '(98) 97676-9459']","[[], None]",False,"[['68.634.234/6199-22'], '68.634.234/6199-22']",True,"[['96639-551'], '96639-551']","[[], None]","[['2469.36'], '2469.36']","[['https://empresa.com.br/7wzbhlu/lwpenx'], 'https://empresa.com.br/7wzbhlu/lwpenx']"
